년도,교명,1교장A,1교장B,1교장C,1교장D,1교장E,1교장F,1교장G,2학교A,2학교B,2학교C,2학교D,2학교E,2학교F,2학교G,3인원A,3인원B,3인원C,3인원D,3인원E,3인원F,3인원G,4학과A,4학과B,4학과C,4학과D,4학과E,4학과F,4학과G,5시설A,5시설B,5시설C,5시설D,5시설E,5시설F,5시설G,6기타A,6기타B,6기타C,6기타D,6기타E,6기타F,6기타G
1939,안성공립농업학교,4월 1일 초대 교장으로 우쓰노미야(1939.4.1 ~ 1945.10.14)가 취임했다. ,null,null,null,null,null,null,3월 24일 안성공립농업학교가 설립인가됐다.,4월 15일 안성공립농업학교가 개교했다.,null,null,null,null,null,3월 5년제 5학급 각 55명씩 입학했다.,null,null,null,null,null,null,3월 교양과목(수신/공민/국어(일본어)/역사)과 기초과목(수학/이과/외국어)과 예능과목(체육/음악/회화가) 및 전공과목(농업 일반)을 구성했다.,null,null,null,null,null,null,3월 안성공립보통학교 교실 두개를 빌려 교실 및 사무실로 사용했다.,null,null,null,null,null,null,3월 24일 박필병 선생의 기부금을 바탕으로 경기도 안성읍 석정동에 설립했다.,null,null,null,null,null,null
1940,안성공립농업학교,null,null,null,null,null,null,null,null,null,null,null,null,null,null,3월 총 학생 수 110명.,null,null,null,null,null,null,null,null,null,null,null,null,null,4월 안성읍 석개근 부지에 교사를 신축하고 안성시 중앙로 167번지로 이전했다.,null,null,null,null,null,null,개교 당시 56만㎡(17만평)이었다는 설이 유력하다. 해방 이후 교직원 봉급 줄 돈이 없어 학교 땅을 야금야금 팔았다는 이야기가 전해진다.  대학 본부 건물 앞 아름드리나무들이 '안농'의 유산으로 남아 있다. 1940년대부터 심은 나무들이다.,null,null,null,null,null,null
1941,안성공립농업학교,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
1942,안성공립농업학교,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,지금의 비봉관 자리에 기숙사 한동이 있었으며 주숙용이라기보단 전교생 수련이 목적이었다.,null,null,null,null,null,null,null,null,null,null,null,null,null
1943,안성공립농업학교,null,null,null,null,null,null,null,4월 15일 낙성식 행사가 진행됐다.,null,null,null,null,null,null,12월 24일 제1회 졸업식으로 47명이 졸업했다.,null,null,null,null,null,null,null,null,null,null,null,null,null,학교 규모(부지 총면적 4만8900평. 건물 총면적 1231평. 학교 산림 7만 2540평),null,null,null,null,null,null,null,null,null,null,null,null,null
1944,안성공립농업학교,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12월 18일 제2회 졸업식으로 50명이 졸업했다.,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
1945,안성공립농업학교,10월 14일 제2대 교장으로 신태등(1945.10.15 ~ 1946.11.14)이 취임했다.,null,null,null,null,null,null,null,null,null,null,null,null,null,3월 23일 제3회 졸업식으로 53명이 졸업했다.,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
1946,안성공립농업학교,11월 15일 제3대 교장으로 한택우(1946.11.15 ~ 1951.10.15)가 취임했다.,null,null,null,null,null,null,null,null,null,null,null,null,null,7월 21일 제4회 졸업식으로 44명이 졸업했다.,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
1947,안성공립농업학교,null,null,null,null,null,null,null,9월 1일 6년제로 학제가 개편됐다.,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
1948,안성공립농업학교,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
